structure,operation,n,time_us
DLL_Sorted,Predecessor,20000,0.0040
DLL_Sorted,Successor,20000,0.0080
UnsortedArray,Search,24000,14.5960
UnsortedArray,Insert,24000,0.0080
UnsortedArray,Delete,24000,0.0040
UnsortedArray,Max,24000,14.1920
UnsortedArray,Min,24000,13.8040
UnsortedArray,Predecessor,24000,30.9840
UnsortedArray,Successor,24000,21.7240
SortedArray,Search,24000,0.0520
SortedArray,Insert,24000,18.3680
SortedArray,Delete,24000,20.7880
SortedArray,Max,24000,0.0040
SortedArray,Min,24000,0.0040
SortedArray,Predecessor,24000,0.0480
SortedArray,Successor,24000,0.0280
SLL_Unsorted,Search,24000,61.8760
SLL_Unsorted,Insert,24000,0.0480
SLL_Unsorted,Delete,24000,56.6360
SLL_Unsorted,Max,24000,50.6600
SLL_Unsorted,Min,24000,51.5000
SLL_Unsorted,Predecessor,24000,43.5000
SLL_Unsorted,Successor,24000,52.3600
SLL_Sorted,Search,24000,53.3120
SLL_Sorted,Insert,24000,41.9360
SLL_Sorted,Delete,24000,44.4120
SLL_Sorted,Max,24000,41.8960
SLL_Sorted,Min,24000,0.0040
SLL_Sorted,Predecessor,24000,44.1640
SLL_Sorted,Successor,24000,0.0040
DLL_Unsorted,Search,24000,56.7680
DLL_Unsorted,Insert,24000,0.0360
DLL_Unsorted,Delete,24000,0.0240
DLL_Unsorted,Max,24000,55.7960
DLL_Unsorted,Min,24000,56.2960
DLL_Unsorted,Predecessor,24000,44.9920
DLL_Unsorted,Successor,24000,51.9640
DLL_Sorted,Search,24000,55.3120
DLL_Sorted,Insert,24000,50.3360
DLL_Sorted,Delete,24000,0.0280
DLL_Sorted,Max,24000,0.0080
DLL_Sorted,Min,24000,0.0040
DLL_Sorted,Predecessor,24000,0.0040
DLL_Sorted,Successor,24000,0.0040
UnsortedArray,Search,28000,16.5160
UnsortedArray,Insert,28000,0.0080
UnsortedArray,Delete,28000,0.0040
UnsortedArray,Max,28000,15.9240
UnsortedArray,Min,28000,16.1000
UnsortedArray,Predecessor,28000,33.0720
UnsortedArray,Successor,28000,24.7000
SortedArray,Search,28000,0.0480
SortedArray,Insert,28000,22.6120
SortedArray,Delete,28000,20.7160
SortedArray,Max,28000,0.0040
SortedArray,Min,28000,0.0040
SortedArray,Predecessor,28000,0.0440
SortedArray,Successor,28000,0.0320
SLL_Unsorted,Search,28000,56.3160
SLL_Unsorted,Insert,28000,0.0360
SLL_Unsorted,Delete,28000,47.9080
SLL_Unsorted,Max,28000,49.7520
SLL_Unsorted,Min,28000,49.5560
SLL_Unsorted,Predecessor,28000,44.1880
SLL_Unsorted,Successor,28000,54.8080
SLL_Sorted,Search,28000,61.7680
SLL_Sorted,Insert,28000,46.5840
SLL_Sorted,Delete,28000,48.1640
SLL_Sorted,Max,28000,41.4800
SLL_Sorted,Min,28000,0.0040
SLL_Sorted,Predecessor,28000,43.0000
SLL_Sorted,Successor,28000,0.0040
DLL_Unsorted,Search,28000,66.3920
DLL_Unsorted,Insert,28000,0.0440
DLL_Unsorted,Delete,28000,0.0360
DLL_Unsorted,Max,28000,55.4360
DLL_Unsorted,Min,28000,55.7400
DLL_Unsorted,Predecessor,28000,46.1040
DLL_Unsorted,Successor,28000,57.3360
DLL_Sorted,Search,28000,57.2960
DLL_Sorted,Insert,28000,51.1320
DLL_Sorted,Delete,28000,0.0240
DLL_Sorted,Max,28000,0.0040
DLL_Sorted,Min,28000,0.0040
DLL_Sorted,Predecessor,28000,0.0040
DLL_Sorted,Successor,28000,0.0040
